,title,company,rating,location,salary,summary,post_date,record obtained,job_url
23,Data Scientist,Experian,3.7,United States,,"Develop machine learning algorithms with huge data sets to solve challenging business questions.
The ideal candidate must have the ability to extract insights…",2 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=c5dd5c63190cb116&fccid=75a3a5a15b202084&vjs=3
24,Data Scientist,Knock,3.7,"Austin, TX",,"A strong command of data analysis techniques (linear modeling, causal inference, Bayesian methods, supervised and unsupervised machine learning, etc.).",Today,2020-10-29,https://www.indeed.com/rc/clk?jk=ee364338d6c5d871&fccid=f0c02e05b04b1569&vjs=3
25,Data Scientist,"RMDS Lab, Inc",,"South Lake, CA",$42 - $52 an hour,"Provide consultation on data science and machine learning.
Strong interests in machine learning and a fast learner.
Bachelor’s degree or above necessary.",13 days ago,2020-10-29,https://www.indeed.com/company/RMDS-Lab/jobs/Data-Scientist-f3bfb6c860377804?fccid=bb09cf205f12348c&vjs=3
26,Data Scientist,Weber-Stephen Products LLC,3.1,United States,,"Data scientists work on our centralized enterprise analytics team to develop predictive models using machine learning, data visualization, and other forms of…",Today,2020-10-29,https://www.indeed.com/rc/clk?jk=b3a476b51ceb165a&fccid=79bd6aafbadfa288&vjs=3
27,Data Scientist,"Alto Neuroscience, Inc",,"San Francisco Bay Area, CA",,"This person will work closely with a growing inter-disciplinary team of Physicians, Research scientists and Software developers to challenge the status quo and…",16 days ago,2020-10-29,"https://www.indeed.com/company/Alto-Neuroscience,-Inc/jobs/Data-Scientist-ca16b63c03e40c57?fccid=3a7ad5d4b8526b01&vjs=3"
28,Data Scientist,Diamond Foundry,,"Seattle, WA",,"Apply your expertise in quantitative analysis, data mining, and data visualization to see beyond the numbers, understand how our users interact and engage with…",Just posted,2020-10-29,https://www.indeed.com/rc/clk?jk=9a9a7c859a7043af&fccid=c7342f41f3559451&vjs=3
29,Data Scientist,Epace Technology,,United States,,"Understanding data, data problem statements, data processing.
Someone with a quantum background in physics/statistical backgrounds will be able to do this.",1 day ago,2020-10-29,https://www.indeed.com/rc/clk?jk=897be629172f9721&fccid=28cf12cd52776c04&vjs=3
30,Data Scientist,Comet.ml,,"New York, NY",,"This role will provide support for the marketing and data science teams, using deep, technical knowledge of data science, machine learning, and AI to develop…",1 day ago,2020-10-29,https://www.indeed.com/rc/clk?jk=8d42d5e43bb644b9&fccid=656e645f6fb74979&vjs=3
31,Data Scientist,Diamond Foundry,,"Los Angeles, CA",,"Apply your expertise in quantitative analysis, data mining, and data visualization to see beyond the numbers, understand how our users interact and engage with…",Just posted,2020-10-29,https://www.indeed.com/rc/clk?jk=03e3b4b677b52c7a&fccid=c7342f41f3559451&vjs=3
32,Data Scientist,"Avicena, LLC",,Remote,"$120,000 - $150,000 a year","Collaborate tightly with a team of software engineers, signal processing engineers, and other data scientists to generate diagnostic models based on clinical…",10 days ago,2020-10-29,"https://www.indeed.com/company/Avicena,-LLC/jobs/Data-Scientist-6c59fa987e480e20?fccid=d820b5381c2558ed&vjs=3"
33,Data Scientist,Envision LLC,,"St. Louis, MO","$110,000 a year","Utilize modern data science techniques to examine, explain, and interpret data sets, and to recognize and forecast trends, as well as conduct analytics…",17 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A13XXEAKoVsy1UjAxA2tJa37vkRdGHJdX4gYp8IY3tTpc57ra18Z9sYJ3trAbN1b2rcq1i-5ySRh-DHCeQOboq3CrDu2_xKg2hIhBZv3P20YbE3qaR9qLg7OYzxF5YArweXyOPsZ7J9jsASUueSn_JdgUxOfKYKUG8gHTWTr7aRFTlY0KsnPYvH_-6eojdy8dr5rquTkY4JK0LIDor7k6LK6Ht4MqE-iVxqxrldgd7oISNFeVUWA8_1CWNzixKP_d9Z4hLXnc_PHkXpzIN7iwbsMlrR4E6mTP_YsYWXaZl-7kMKsl_Fit3sjafGkUWdPViVT511cS38rxTXx0cmMUHOPkDNe8VFZ17BViDKSw95JcG7vIFaBWeHYLY-F08dgItdF3iU5bl8yiEDrVJu71lTiHDKXae2xGcnK0LWZv_5q_Y4Jv5ARrZYtg-c1pVp2fP_UhEEMIvLC5nIdxH2Gm1&p=17&fvj=0&vjs=3
34,Data Scientist,Horizon Health,3.2,"Lewisville, TX",,"Uses descriptive, inferential, prescriptive, and predictive statistical/data science techniques to analyze behavioral health outcomes and clinical data in…",23 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B70tG5J9F_p6339PMOY8QlFtcwwwI2VpystrlvXRVKwq6wGD8W2iNzDRBHa8U3wVZew54n1TiLUkOuErQScOr_OQnUsam7FIMUEr6DVBjL36gn5WhO2zkZ8iA18WFCKWcTyYpdXPKzy0g70X3o9uKdzyUl70VZd873YtcuOM3uwEatAnUW_dL_hnOhrOrv240fi08pVRlyzy7m8TGjb-AcFQ8lJ_1Auk25cp9es-1Z9vxe3YWBnJQoUnwUQCoxMpVC6ZGTg7HepWsgV6XOHXrqXC6HH1KyjHY2x9FGGj2xyBl-xY7SlXSX18UPDOORyPYZY_yOl1ge-jU6F22blqnva0w4fmixcAUQgzyD95HxpzChRMuKbvsbwscJr7uAaTx3qPG20bVxalpHyr9RmIjJTbK2Ud8PSlq6AVOSCWrFIp0QqAACR-YzLml-UbJTSHlS2_iVHIgIwQ==&p=18&fvj=1&vjs=3
35,"Data Scientist, Consultant",Guidehouse,3.4,"Atlanta, GA",,"This high performing team works with clients to implement the full spectrum of data analytics and data science, from data querying and data wrangling, to data…",1 day ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yLKGpcQzZ_O8r9q-m4QGBZILJsMcrCnsXks4l-jv1pW0P06j-xkM-s2IyZrLKdDCzCs6F6cetm5DO8WxrdmO0jB25SXi9Z0USpIf38jzrmv0TnkdtSPaONQ4BVwJUXIiAImN2z6FV1aSOMHNPGBSDZ-GFyV22EeDRRjYicI6tI_e3gBAWws44gMM_aCkzpOsxjP__tToPoqWYkev9rc75PBhSLsicRCei1Kdp9CZtCqnKxN6EaeLumIEjoAVpo2dvkzpRs6q9H-Pp5Ozp4J0uRd3cZRGnLeKWRrrwuiK6_zkGt-BQCGRkZpD_0Wn6_aUYHdEuCDuFQ2bD87j8P-S046_3VZemsd79g==&p=0&fvj=0&vjs=3
36,Data Scientist,Northrop Grumman,4.0,"Hill AFB, UT",,"Develop and implement artificial intelligence and machine learning models to solve complex data problems.
Maintain an up-to-date knowledge of technology trends.",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL4xiBVbb_EgRS6mZmsgnHhYXj50SC9-X30p_GeD5_JVQKRLdiFHwEamVtcKlXPblXcPJlC0nlTGATomcIGUJcGXQ1aGc2vR4Kyi-7KM905N9Uz5fNYuBQmADflZYMSGgwBW36-axeyojs44JY6N6CVYP_VvlpQmOdhFVskUgR9wR9odXUpq5f2rUWZdK4jBOQ0uKlQpCJ22w7_jAvdyiaOfwijW8O_yFaocXlItz0A2hyXzTi7Ypf5oo4pc-2I_xnjxjJs6Da5FtmEg6Nqwn0Tf3-_ZXiyqTq2Y3xgOpBbLyflpKHyvN2kJXPPeS71zTnWjGg02Zb8znmJAKfhZ0zSUPSK0W0X7qKf290pWq4szzmPvnSxwJSkD7HkJq63lY_f1tnepkWaWnrYLKyUijyCrOtXORs1zmcFI3xeGW5Vc4Htw5bctdvgEhwPwDNepVM5fIK_hECdiMxn19YdFN0aHvKiSI3Z9YWmVIPB8y7cjgY_cEYLFi0HP5_7TKnBQMy6XSdVPgx7VeFS1mpmPvYvN1R9xa75pcUgxI2E38eDedf6JKL8QCSdJVEHnaqS3ae2znMx9GXiwrMrpLvJrKlRg=&p=1&fvj=0&vjs=3
