title,company,rating,location,salary,summary
Research Data Scientist I,Cleveland Clinic,3.9,"Cleveland, OH",,"Must possess a minimum of 2 years of experience conducting data analytics, math or statistical modeling or machine learning."
"Data Scientist, Advertising Business",Spotify,4.3,"New York, NY 10011 (Flatiron District area)",,"Mentor and coach other data scientists.
You have the technical competence to perform advanced analytics: coding skills (such as Python, Java, or Scala),…"
Data Scientist,Strong Analytics,,"Chicago, IL 60611 (Near North Side area)",,"Designing, training, and validating results from a breadth of machine learning algorithms.
Building deep neural networks with modern tools, such as PyTorch or…"
Data Scientist,Quantifind,,"Washington, DC",,"You are a full-stack data scientist, an experienced quantitative thinker who wants to develop further as both a data scientist and an engineer."
"Data Scientist, ML Evaluation - McD Tech Labs",McDonald's Corporate,3.5,"Mountain View, CA",,"Work with teams of data scientists in the ML evaluation work of our AI Drive Through Product.
The ideal candidate will have previous experience using advanced…"
Data Scientist University Grad,ViaSat,3.8,"Carlsbad, CA 92009 (Bressi Ranch area)",,"Analyze large data sets, while finding the truth in data, and develop efficient processes for data analysis and simple, elegant visualization."
,Nutrisystem,2.8,"Fort Washington, PA 19034","$95,000 - $125,000 a year","Minimum 5 years of experience with progressively more complex data science, applied statistics, and machine learning projects.
Temporarily due to COVID-19."
Data Scientist,Advance Local,3.7,"New York, NY 10004 (Financial District area)",,"Experience using statistics, propensity model building, and algorithms to manipulate data and draw insights from large data sets."
Data Scientist,Bayer,4.2,"Creve Coeur, MO",,Provide technical contributions in a fast-paced team environment to accelerate our efforts on building an analytics-driven product pipeline;
Data Scientist,Gustaine,,"Orange, CA",,"We are looking for accomplished Fresh Graduates / colleagues with 1-2 years of experience, track record of project management, and demonstrated ability to…"
Data Scientist,Budderfly Inc,,"Shelton, CT 06477",,"Design and build new data set processes for modeling, data mining, and production use.
Identify and validate sources of third-party data to augment Budderfly…"
Data Scientist - Payment,DiDi Labs,,"Mountain View, CA 94043",,"Strong data modeling skillset, hands on mastery of data manipulation and experience with data analytics tools (SQL, R, Python, Hive, Spark, etc.) and data…"
Data Scientist- Spark Digital,DuPont,4.1,"Wilmington, DE",,"Build innovative data products using machine learning and predictive analytics capabilities, big data / batching tools, etc. across various themes:"
Data Scientist - Deep Learning,Bosch Group,4.1,"Sunnyvale, CA 94085 (East Murphy area)",,"Execute complex machine learning and deep learning projects that have a significant impact on Bosch global business.
Write clear, maintainable and tested code."
Data Scientist Intern- Summer 2021,Paylocity,3.7,Remote,,"Invested in staying current in data science by applying new technologies and practices.
Select features, build and optimize classifiers using machine learning…"
Data Scientist,Kharon,,"Los Angeles, CA",,"We are hiring data scientists to expand and enhance our research and analysis platform, which leverages open-source intelligence, data mining, network analysis,…"
Data Scientist,Central Intelligence Agency,4.3,"Washington, DC","$63,503 - $157,709 a year","Experience applying machine learning, natural language processing, or reasoning systems.
Experience presenting data-driven insights to customers and colleagues."
Jr. Data Scientist,Super Systems Inc,4.7,"Washington, DC","$100,000 - $110,000 a year","BS degree in a related scientific or engineering discipline from an accredited college or university and 2+ years of progressive experience, or an MS degree in…"
Data Scientist - Weather Data,Waymo,3.1,"Ann Arbor, MI",,"Collaborate with engineers and other data scientists on evaluating and improving core Waymo technologies, with a focus on bringing statistical depth, general…"
Data Scientist - Global,Amgen,4.1,"Thousand Oaks, CA 91362",,"The Data Scientist will be responsible for oversight, governance and administration of Amgen’s global commercial data and analytics warehouse and lead cross…"
Forward Deployed Data Scientist,Cresta,4.2,Remote,,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).
You'll have an impact on acquiring new customers, helping our current customers…"
Data Scientist,ClearCut Analytics,,"Chicago, IL 60642",,"4+ years of professional experience in an analytics and data science environment utilizing quantitative analytics methodologies, experience in a SaaS or…"
Applied Scientist (Remote),Yelp,3.4,Remote,,"Applied scientists uncover these insights through exploratory research and analysis, and carry the ideas all the way through to production-grade statistical or…"
Data Scientist - Advanced Analytics (Industrial Products & S...,PRICE WATERHOUSE COOPERS,4.0,"Washington, DC",,"Applicable sources of external, internal, or new data sources to support analytic methods and visualization.
Analyzing large and complex data sets, including a…"
Data Scientist (Mid),iQuasar LLC,,"Creve Coeur, MO",$40 - $53 an hour,"Develop powerful business insights from social, marketing, industrial data, and public policy using advanced machine learning techniques."
International Data Scientist,TransUnion,3.8,"Atlanta, GA 30326 (North Buckhead area)",,"You’ll apply your project management skills, statistical expertise, and knowledge of credit data and analytical resources to determine scope, design,…"
Data Scientist (all levels),IAMUS Consulting,,"Linthicum Heights, MD 21090",,"Some knowledge of machine learning concepts a plus, but must be able to do analysis and analytics without ML frameworks."
Data Scientist,Booz Allen Hamilton,3.9,"Washington, DC",,"2+ years of experience in a data science or data analytics role.
Experience with reporting and presenting analytics findings to senior leadership and clients."
Data Scientist,Diligente Technologies,,"Santa Clara, CA",$70 - $80 an hour,"The data scientist will blend both structured and unstructured data and use the latest datamining, statistical- and machine-learning and data visualization…"
Data Engineer / Data Scientist,Inspirisys,,Remote,$35 - $70 an hour,"Duration: 15 Months contract + possible extension*.
Need an AWS Data Engineer / Scientist with.
8 – 10 Years of experience.
Strong Experience in AWS Kinesis."
"Data Scientist, Systems Engineering",Apple,4.2,"Santa Clara Valley, CA 95014",,"3+ years data science background including data analytics, modeling, visualization, study design, and statistical methods."
Data Scientist,ZUNA,,"Greenwich, CT","$109,000 - $130,000 a year","The junior data scientist role will use data to help us better understand who our clients are, how they engage with our products and services and how we can…"
"Data Scientist, Product Analytics",Noom US,4.1,"New York, NY",,"We offer a generous budget for personal development expenses like training courses, conferences, and books.
You'll get three weeks' paid vacation and a flexible…"
"Data Scientist, Crypto",a16z,,"Menlo Park, CA",,"Lead data analysis projects that answer those questions from start to finish: gather and process the necessary data, build or spin-up the right tools, and…"
Data Scientist,ACHNET Inc,,"Plano, TX","$70,000 - $177,616 a year","Building and owning large scale machine learning models.
3 - 5+ years of experience in one or more of ML / Deep Learning, NLP, IR, databases, and graph…"
Claims Data Scientist,ConcertAI,,Remote,,"As a Claims Data Scientist at ConcertAI, you will be responsible for data exploration, and analysis on patient data for various stakeholders in the oncology and…"
Data Scientist,Enable Data,,"Minneapolis, MN 55414 (Prospect Park area)",,"Data scientists often working in a fast-paced multidisciplinary environment so need the ability to autonomously to develop and query databases, perform analysis…"
Data Scientist (Intern) - United States,Cisco Systems,4.1,"San Jose, CA",,"Creative Hardware Engineering positions available in: ASIC Design and Verification System/Board Design Circuit Board Layout Hardware Automation, Validation and…"
Data Science Analyst,Denali Advanced Integration,2.4,"Redmond, WA 98052",,"The Data Science Analyst will translate data into visualizations to analyze trends and understand the data easier.
Data mining using state-of-the-art methods."
Data Scientist,CyberCoders,3.3,"Salt Lake City, UT","$50,000 - $95,000 a year","Develop data collection and management modules.
Develop data analysis algorithms for Facility Operations.
If you are a Data Scientist with experience, please…"
Data Scientist Intern,Internet Brands,,"Los Angeles, CA",,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality analytical and prediction systems…"
"Data Scientist, Analytics",Evernote,3.4,"Redwood City, CA 94063 (Downtown area)",,"Apply your expertise in quantitative analysis, data mining, and data visualization to see beyond the numbers, understand how our users interact and engage with…"
Data Scientist,Abercrombie and Fitch Co.,3.5,"Columbus, OH",,"Be an evangelist of data-informed decision-making and consistently look out for new ways to leverage data and analytics.
Proficiency with SQL, SAS, Python or R."
Senior Data Scientist,Deloitte,4.0,"Gilbert, AZ 85297",,"Perform multiple forms of advanced analyses, sustainment, optimization, text analytics, machine learning, parametric and non-parametric statistical models and…"
Junior Data Scientist,"Data-Core System, Inc.",,"Philadelphia, PA 19102 (City Center West area)",,The Data Engineering team uses the Big Data paradigm to make data available for data scientists and a multitude of other business users to draw insights to…
DATA SCIENTIST,Koch Supply and Trading,3.6,"Houston, TX 77046 (Montrose area)",,"Work closely with analysts, traders, developers, and other data scientists to develop powerful analysis, models, and analytical solutions."
Data Scientist/Machine Learning Engineer,"Sanguina, Inc.",,"Atlanta, GA","$80,000 - $100,000 a year","Analyze data generated from ongoing clinical studies.
Sanguina is searching for a skilled data scientist with machine learning, image analysis, and statistical…"
"Data Scientist, Analytics",Next Insurance,,"Palo Alto, CA",,Ability to define relevant metrics that can guide and influence stakeholders to the appropriate and accurate insights.
Data Scientist,Tapad,,"New York, NY",,"3+ years experience in applying machine learning techniques, advanced analytics, and statistics, either in an academic setting or as a data scientist."
Data Scientist,Mars,3.9,United States,,"Varied technical experience in delivering statistical analytics, data science and insight on large-scale consumer data sets across multiple sectors, including…"
Data Scientist - Advanced Analytics,Ochsner Health System,3.9,"New Orleans, LA",,"Develop and implement new machine learning models to be used in clinical, operational, and corporate areas.
Preferred – 3-5 years data analytics."
"Postdoctoral, predoctoral, and data scientist positions: cau...",University of Rochester,4.0,"Rochester, NY 14627 (Strong area)","$30,000 - $80,000 a year","Harvard Medical School (Drugowitsch lab): data scientist and graduate student.
This multi-institution project involves experimental and computational…"
Data Scientist & Architect,DISH Network,3.3,"Englewood, CO 80112",,"As time allows, the scientist and architect will explore new datasets to ferret out actionable business insights, always keeping a lookout for opportunities to…"
Social Scientist (Data Scientist),US Department of Agriculture,4.1,"Seattle, WA","$76,721 - $118,603 a year",Works closely with team Statisticians to ensure data integrity and strengthen data analysis and the design of research initiatives through established and…
Data Scientist,XPO Logistics,3.2,"High Point, NC 27265",,"Deep understanding of statistical modeling, machine learning, deep learning or data mining concepts, and a track record of solving problems with these methods."
CAMPUS: Data Scientist/Analyst Internship Opportunity - Spri...,"Langan Engineering and Environmental Services, Inc...",3.8,"Parsippany, NJ",,"Responsibilities include business data management and validation, data analysis for business intelligence and trends, ability to analyze data sets, and…"
Data Scientist,Deep Labs,3.7,"San Francisco, CA 94105 (Financial District area)",,"The ideal candidate will have a strong background working with data, experience applying machine learning and deep learning techniques to real-world problems,…"
"Data Scientist, Analytics","Facebook, Inc.",4.2,"New York, NY",,"Experience working with large data sets.
Experience manipulating data sets through statistical software (ex. R, SAS) or other methods."
Junior Data Scientist,PIÑATA SCIENCES,,"Boston, MA",,"Experience with machine learning techniques.
As an energetic data scientist you will be responsible for taking in person findings and developing practical…"
Data Scientist,Naturipe Farms LLC,3.7,"Estero, FL 33928",,"Support our sales, product management, marketing and leadership teams with insights gained from analyzing and mining company data."
Data Scientist,Biz2Credit Inc,,"New York, NY 10119 (Chelsea area)",,"Work on data projects and proposals involving Biz2Credit?s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)…"
Data Scientist Intern - Computer Vision,Project YX,3.5,"Palo Alto, CA",,"Write elegant machine learning and data analysis code in Python.
Our highly client-centric approach uses deep data to take the infinite array of luxury goods…"
Junior Data Scientist,DataSprouts,,"Bloomington, IN",,"Prior working experience in design and developing analysis techniques that uncovers patterns, trends and anomalies in large scale data using regression analysis…"
