,title,company,rating,location,salary,summary
12,Data Scientist (Fraud Prevention) - Sam's Club Technology,Walmart,3.5,"Dallas, TX","$80,000 - $130,000 a year",Sam's Club Technology* a division of Walmart Global Tech is looking for Data Scientists specializing in Fraud Prevention to join the Data Science &…
13,Data Scientist,"Alto Neuroscience, Inc",,"San Francisco Bay Area, CA",,"This person will work closely with a growing inter-disciplinary team of Physicians, Research scientists and Software developers to challenge the status quo and…"
14,Data Scientist,Comet.ml,,"New York, NY",,"This role will provide support for the marketing and data science teams, using deep, technical knowledge of data science, machine learning, and AI to develop…"
15,,Northrop Grumman,4.0,"Hill AFB, UT 84056",,"Develop and implement artificial intelligence and machine learning models to solve complex data problems.
Maintain an up-to-date knowledge of technology trends."
16,Data Scientist II (Remote Work Location Available),USAA,3.9,"Lackland AFB, TX 78236",,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…"
17,DOD Data Scientist/Engineer - Junior,Guidehouse,3.4,"Patuxent River Estates, MD",,"Experience with data engineering and data security practices.
The individual will support the NAVAIR Digital Group in establishing practical and applied data…"
18,Sr. Data Scientist,Florida Blue,4.0,"Jacksonville, FL","$130,000 a year","Participate on projects and manage project phases or smaller projects in their entirety (includes project management).
7+ years related work experience."
19,Data Analytics / HPC / Computational Data Scientist,CI Software,,"Vicksburg, MS 39180",$55 - $105 an hour,"Support areas include data analytics, visualization and analysis, parallel I/O.
This shall include development of software to meet customer needs in the area of…"
20,Genomic Data Scientist,"BioStat Solutions, LLC.",,"Frederick, MD 21703",,"Provide quality control and analysis of a wide spectrum of omics datasets, including DNA-based (e.g. whole genome sequencing, whole exome sequencing, targeted…"
21,Data Scientist (Mid-Level) - 100% Remote Available,USAA,3.9,"Adkins, TX 78101",,"Uses advanced techniques that integrate traditional and non-traditional datasets and method to enable analytical solutions; Applies predictive analytics,…"
22,Data Scientist,Parkland Corporation,3.1,"Austin, TX","Up to $2,000 a week",Demonstrated understanding in advanced analytics methods with perspectives from machine learning (including supervised and unsupervised learning) as well as…
23,Data Scientist (Fraud Prevention) - Sam's Club Technology,Walmart,3.5,"Dallas, TX","$80,000 - $130,000 a year",Sam's Club Technology* a division of Walmart Global Tech is looking for Data Scientists specializing in Fraud Prevention to join the Data Science &…
24,Data Scientist,"Alto Neuroscience, Inc",,"San Francisco Bay Area, CA",,"This person will work closely with a growing inter-disciplinary team of Physicians, Research scientists and Software developers to challenge the status quo and…"
25,Data Scientist,Comet.ml,,"New York, NY",,"This role will provide support for the marketing and data science teams, using deep, technical knowledge of data science, machine learning, and AI to develop…"
26,Data Scientist,Caffeine,,"Redwood City, CA",,"Work closely with the Product team and Engineering team to build machine learning / deep learning / stats-driven models, interrate the algorithms via…"
27,Associate Data Scientist,Darden,3.9,"Orlando, FL",,Performs data analysis through the use of various data-mining and statistical techniques in order to gain insights from data to support business priorities.
28,Data Scientist,Weber-Stephen Products LLC,3.1,United States,,"Data scientists work on our centralized enterprise analytics team to develop predictive models using machine learning, data visualization, and other forms of…"
29,Data Scientist,Kinship,4.6,"Portland, OR",,"Contribute to the creation, deployment, and scaling of customer-facing machine learning and predictive algorithms in a production environment."
30,Data Scientist Analyst,Weber-Stephen Products LLC,3.1,United States,,"Analysts work on our centralized enterprise analytics team to analyze consumer data, develop data visualizations, and perform various advanced analytics…"
31,"Virtual Data Analytics & Science Internships, Spring 2021",HBO,4.2,"New York, NY",,"Familiar with a variety of machine learning and/or deep learning techniques.
These teams are responsible for designing and executing end-to-end data science…"
32,AI Data Specialist,Percept.AI,,"Sunnyvale, CA","$50,000 a year","Demonstrated experience with data labeling and data quality efforts.
You will need to communicate with our clients to understand their use case, translate it to…"
33,Data Scientist - Remote,SemanticBits LLC,4.2,Remote,,"Strong grasp of statistics, programming, and modeling techniques (machine learning, classification, cluster analysis, data mining, databases, and visualization)…"
34,Junior Data Scientist,Leidos,3.7,"Morgantown, WV 26501 (First Ward area)",,"Work individually and on local and geographically dispersed teams with other engineers, scientists, technicians, subject matter experts, faculty members, post…"
35,Data Scientist,Smart-tek,,"Marietta, GA","$115,000 - $140,000 a year",You will have access to customers (and their data) to fully gain an understanding about their analytical business needs and opportunities while collaborating…
36,Data Scientist,Penfield Search Partners,,"Plainsboro, NJ",,Creates robust models based on statistical and data mining techniques to provide insights and recommendations based on large complex data sets.
37,Quantitative Data Scientist,University of Utah,4.2,"Salt Lake City, UT 84112 (East Bench area)","$75,900 - $130,049 a year","Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining…"
38,Data Scientist,AEM Corporation,5.0,"Salt Lake City, UT 84111 (Greater Avenues area)","$130,000 - $140,000 a year","Support the design of predictive analytics models using data analytics and machine learning techniques.
Experience creating data analytics visualizations and…"
39,Data Scientist I,Central Business Solutions Inc,,"Santa Clara, CA",,Data Scientist I (DS) is responsible for supporting the execution of data analysis to help demonstrate clinical and health economics value of diagnostics using…
40,Data Scientist (Mid),Envision LLC,,"St. Louis, MO 63141",,"Develop powerful business insights from social, marketing, industrial data and public policy using advanced machine learning techniques."
41,Data Scientist - Intermediate,Bayer,4.2,"San Francisco, CA 94103 (South Of Market area)",,"Different data sources have unique data types, data structures, data quality and data limitations.
General data analysis using statistical modeling and machine…"
42,Data Scientist,McDonald's Corporation,3.5,"Chicago, IL 60607 (West Town area)",,McDonald’s is looking to hire a Data Scientist who has a deep understanding of Advanced Analytics and Big Data.
43,Data Scientist,Plymouth Rock Assurance,3.8,"Woodbridge, NJ 07095",,"Performs data mining and data cleansing tasks.
Solid skills and training in predictive modeling, data mining and other quantitative and research analytics (,…"
44,Data Scientist I,The Karis Group,4.1,"Austin, TX",,"Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc."
45,Data Scientist (entry level),Saturn Cloud,,Oregon,,"Comfortable with quantitative analysis, statistical techniques, data mining.
Experience that includes: data science (degree or bootcamp), writing and…"
46,Data Scientist Winter Intern,Zora Digital,3.7,Remote,Up to $20 an hour,"Work closely with data scientists and backend engineers to implement and maintain your changes.
Work on exploring, connecting and mining internal data sources…"
47,Data Scientist - International Growth,Roblox,4.2,"San Mateo, CA",,"You'll partner with data scientists, product managers, engineers and leaders across the company to better understand our players and builders, performing ad hoc…"
48,Junior Data Scientist,Allstate,3.8,"Charlotte, NC",,"This includes: the development and execution of new machine learning predictive modeling algorithms, the coding/development of tools that use machine learning…"
49,Data Scientist,EdgeSphere inc,,"Clifton, NJ",$50 - $60 an hour,"Experience in image/video analytics – including feature extraction, object detection, classification and tracking.
Machine Learning: 5 years (Preferred)."
50,Data Scientist,ComResource,4.2,"Columbus, OH 43215 (Grandview South area)",,"Prior data science experience preferred, but willing to consider new data scientists depending on background.
Masters or PhD in Applied Mathematics, Statistics,…"
51,Data Scientist,Source Enterprises,4.3,"New York, NY",,"Stay current on modern trends and advances in data mining technology.
Work with our industry experts to gain unrivaled knowledge at both the strategic level …"
52,Data Scientist I,"DAT Solutions, LLC",,"Austin, TX 78750",,"Skilled in applying the latest and most relevant data modeling tools.
Conduct relevant research and data analysis; create reports for internal clients."
53,Data Scientist,UNC Charlotte,4.4,"Charlotte, NC 28262 (University City South area)",,"Transform, analyze, package and present data to university administrative leadership to inform policy and decision making."
54,Data Scientist,Virgin Galactic,3.3,"Los Angeles, CA 90017 (Downtown area)",,"The ideal candidate for this position has a practical background in analytics, with experience in natural language processing, information retrieval, knowledge…"
55,Data Scientist,Penfield Search Partners,,"Plainsboro, NJ",,Creates robust models based on statistical and data mining techniques to provide insights and recommendations based on large complex data sets.
56,Data Scientist,PPG Industries,3.5,"Pittsburgh, PA 15239",,"Minimum 2 years of experience with data storytelling and visualization technologies.
Build advanced machine learning models that help optimize the CRM,…"
57,Data Scientist,Tech Army,,"Jacksonville, FL",,"Actively participate in detailed technical design, development and implementation of advanced analytics data project using existing and emerging technology…"
58,Data Scientist II,Auto Club of Southern California,3.6,"Costa Mesa, CA",,"Defining project requirements, building SQL/HIVE databases, job automation, using analytical tools to find trends and predictive characteristics, developing and…"
59,Data Engineer/Scientist,Tech Army,,"Jacksonville, FL",,"Actively participate in detailed technical design, development and implementation of advanced analytics data project using existing and emerging technology…"
60,Data Scientist,Employment Placement Agency,,"Irving, TX",$55 - $75 an hour,"Familiar with at least one machine learning framework: TensorFlow, Keras, Caffe, etc.
Strong knowledge of advanced mathematics, image/video processing, computer…"
61,Data Scientist,KPISOFT Inc,,Remote,"$70,315 - $90,405 a year","Be a subject matter expert on machine learning and predictive modeling.
This person will develop algorithms, write scripts, build predictive analytics, use…"
62,Data Scientist-Janssen (BRQC),Johnson & Johnson Family of Companies,4.2,"Spring House, PA",,"Assist in creation of new mechanisms to monitor for quality signals using outputs from analytics, including descriptive analytics such as those from Spotfire,…"
63,Junior Data Scientist,MassMutual,3.7,"Amherst, MA 01002",,"High-impact project work: Junior data scientists work together with MassMutualâ€™s data scientists to solve challenging problems in finance,."
64,Data Scientist I,"DAT Solutions, LLC",,"Austin, TX 78750",,"Skilled in applying the latest and most relevant data modeling tools.
Conduct relevant research and data analysis; create reports for internal clients."
65,University Grad Data Scientist,Pinterest,4.2,"San Francisco, CA 94103 (South of Market area)",,"Experience applying scientific methods to solve-real-world problems on web scale data is a plus.
You’ll apply quantitative analysis, modeling, and data mining…"
66,Data Scientist,PPG Industries,3.5,"Pittsburgh, PA 15239",,"Minimum 2 years of experience with data storytelling and visualization technologies.
Build advanced machine learning models that help optimize the CRM,…"
67,Senior Data Scientist,Samsara,4.7,"San Francisco, CA",,"4+ years experience as a data scientist, data engineer, or related role.
Experience with data visualization using Python libraries or BI tools (e.g., Tableau)."
68,Remote Data Scientist 1 Year Contract,Recruiting for Good,,"Los Angeles, CA",,"Conduct ad-hoc analysis to understand unexpected metric movements and communicate results to other data scientists, product managers and company leadership."
69,"Data Scientist, Charging Data & Modeling",Tesla,3.5,"Palo Alto, CA",,"Use statistical modeling and machine learning to extract insights on fleet usage, trends, performance.
Experience with statistical data analysis and machine…"
70,Central Data Scientist,PRA Health Sciences,3.4,Remote,,"Escalates project concerns such as outof-scope tasks, at-risk project deliverables and project team relationship issues to functional and project managers in a…"
71,Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,4.3,"Washington, DC",$21.93 - $26.43 an hour,"You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…"
72,Data Scientist,ComResource,4.2,"Columbus, OH 43215 (Grandview South area)",,"Prior data science experience preferred, but willing to consider new data scientists depending on background.
Masters or PhD in Applied Mathematics, Statistics,…"
73,Data Scientist,Oshkosh Corporation,3.9,"Hagerstown, MD",,"In this role, the data scientist will use techniques from statistical analysis, optimization, machine learning and advanced visualization to develop data driven…"
74,PwC Labs - Jr. Data Scientist (AI Lab),PRICE WATERHOUSE COOPERS,4.0,"Tampa, FL",,"Our work involves the use of supervised/unsupervised machine learning algorithms, traditional statistical models, deep neural networks, terabyte scale data, and…"
75,Data Scientist,The Cimino Group,,Connecticut,,"Design and build new data set processes for modeling, data mining, and production use.
Identify and validate sources of third-party data to augment client data,…"
76,Computer Vision Data Scientist,McDonald's Corporation,3.5,"Chicago, IL 60607 (West Town area)",,"The position requires someone that seeks to supplement their skills through the use of project experience, self-study, and ongoing training."
77,Data Scientist,AAA Club Alliance,3.5,"Wilmington, DE",,"May provide limited mentoring to junior data scientists.
Advanced knowledge and experience using statistical, machine learning and deep learning algorithms in a…"
78,Data Scientist,Nintendo of America Inc.,4.1,"Redmond, WA",,"Gain deep insight into player behavior and business impact; present findings to internal stakeholders.
Comfortable getting and preparing data; this includes…"
79,Data Scientist,Optiv,3.1,"Overland Park, KS",,"Demonstrated experience applying data science methods to real-world data problems.
2+ years’ recent experience applying data science methods in B2B setting."
80,Data Scientist -Bioinformatics,MaxisIT Inc,3.3,"New York, NY",,"Follow relevant scientific literature to ensure use of optimal methods and understand emerging practices across the field.
Good understand of disease biology."
81,Data Scientist,Corvus Insurance,,Massachusetts,,"You'll play a critical role in defining how data science can solve business problems, and will be responsible for the full data science life cycle, including…"
82,Data Scientist - Philippines,GDS Global Services,,United States,,"Works with clients to manage and explore data to discover business opportunities.
Must have a strong knowledge of machine learning techniques."
83,Data Scientist,Harvard University,4.3,"Boston, MA",,"00 - Non Union, Exempt or Temporary.
35 hrs. per week | Monday - Friday | 9:00 am - 5:00 pm."
84,Data Scientist,University of North Carolina at Chapel Hill,4.1,"Chapel Hill, NC 27599",,"Relevant post-Baccalaureate degree required; for candidates demonstrating comparable independent research productivity, will accept a relevant undergraduate…"
85,Data Scientist,NCSOFT,2.8,"Bellevue, WA",,"3-5 years of experience as a data scientist or similar.
Experience with data visualization tools (eg. Tableau) or coding (Shiny or D3)."
86,Excel Expert Software Engineer/Data Scientist,Ed Mehlman and Associates,,"Houston, TX",,"Expertise with large dataset and database analytics required.
Candidates can have any education background but a degree in computer science, data science, and…"
87,Associate Data Scientist,Darden,3.9,"Orlando, FL",,Performs data analysis through the use of various data-mining and statistical techniques in order to gain insights from data to support business priorities.
88,Data Scientist,University of Utah,4.2,"Salt Lake City, UT 84112 (East Bench area)","$93,950 - $108,000 a year","Expertise in industry leading statistical and data science practices; these enable operational improvement, strategy deployment, value improvement, population…"
89,Junior Data Scientist,LexisNexis Legal & Professional,4.1,"San Francisco, CA",,"You will prototype new ideas and build-out existing systems, collaborating with other data scientists, product managers, front-end developers, and a dedicated…"
90,Data Scientist,"Vaporsens, Inc.",,"Salt Lake City, UT 84108 (East Bench area)",,"Experience in multidimensional data visualization.
General knowledge of machine learning and artificial intelligence, including data pipelines, cross-validation…"
91,Data Scientist,Future International Education Center LLC.,,"San Jose, CA 95113 (Downtown area)","From $110,000 a year","Deep understanding of statistical modeling, machine learning, deep learning, or data mining concepts, and a track record of solving problems with these methods."
92,Data Scientist,PubMatic,3.9,"Redwood City, CA 94065 (Marine area)",,"Deep interest and aptitude in data, metrics, analysis, trends and applied knowledge of measurement, statistics and program evaluation."
93,Data Scientist,TeePublic,4.4,"New York, NY",,"Building production grade models on large-scale datasets to optimize content discovery by utilizing advanced statistical modeling, machine learning, or data…"
94,Data Scientist USA - Anomaly Detection,Blue Orange Digital,,Remote,,You will be joining a highly talented team of engineers and data scientists working on implementing production machine learning models in the media space.
95,Data Scientist-Janssen (BRQC),Johnson & Johnson Family of Companies,4.2,"Spring House, PA",,"Assist in creation of new mechanisms to monitor for quality signals using outputs from analytics, including descriptive analytics such as those from Spotfire,…"
96,Data Scientist - AI/ML Engineer,Softnice,,"Sunnyvale, CA",$60 - $65 an hour,"Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining."
97,"Data Scientist, Networking",Bytedance,,"Mountain View, CA",,"Hands on experience handling terabyte size datasets, applying statistics and machine learning techniques and algorithms, using visualization tools to present…"
98,NATURAL LANGUAGE UNDERSTANDING AND MACHINE LEARNING INNOVATO...,Eduworks Corporation,,"Corvallis, OR 97333",,"Requirements include a thorough knowledge of leading-edge machine learning and natural language understanding methods, strong programming skills in Python and…"
99,Data Scientist (US Consumer Analytics - Cross Program Optimi...,Citi,3.9,"New York, NY",,"Significant experience with non-linear optimization techniques and machine learning.
Within USCA, the Existing Customer Management (ECM) modeling team builds…"
100,Data Scientist,Texas Capital Bank,3.8,"Richardson, TX 75082",,"Use data analytics, machine learning, and/or process automation to improve the efficiency and/or effectiveness of FCC’s transaction monitoring system."
101,Intern-Data Scientist,Optimal Solutions Group,3.5,"College Park, MD 20740",,"Assist development teams drafting and compiling requirements for complex statistical models, machine learning algorithms and deep learning networks."
102,Data Scientist / Engineer,Harvard University,4.3,"Boston, MA",,"00 - Non Union, Exempt or Temporary.
35 hrs. per week | Monday - Friday | 9:00 am - 5:00 pm."
103,Data Scientist,Source Enterprises,4.3,"New York, NY",,"Stay current on modern trends and advances in data mining technology.
Work with our industry experts to gain unrivaled knowledge at both the strategic level …"
104,"Data Scientist, Junior",Booz Allen Hamilton,3.9,"San Diego, CA 92108 (Mission Valley East area)",,"Experience with managing a small team of 3-5 people and the technical delivery of a data science, machine learning, or artificial intelligence project."
105,Data Scientist Predictive Breeding,Bayer,4.2,United States,,"Pilot advanced analytics methods, communicate their effectiveness, enable their deployment and promote their adoption;"
106,Data Scientist,Logic20/20,3.5,"San Francisco Bay Area, CA",,"Collaborate with your team, including machine learning engineers, data engineers, analysts, and TPMs to define tasks, provide estimates, and work together to…"
107,Sr. Data Scientist,Finicity,3.9,"Murray, UT 84123",,"5+ years commercial machine/deep learning and modeling experience.
Ideally, Senior Data Scientists have deep technical and domain expertise."
108,"Data Scientist, Analytics-Remote Presence",Facebook,4.2,"Bellevue, WA",,There is a good balance between diving deep on technical side as well as influencing engineering leaders on this role - data scientists are the key partner to…
109,Intern-Data Scientist,Optimal Solutions Group,3.5,"College Park, MD 20740",,"Assist development teams drafting and compiling requirements for complex statistical models, machine learning algorithms and deep learning networks."
110,Data Scientist / Engineer,Harvard University,4.3,"Boston, MA",,"00 - Non Union, Exempt or Temporary.
35 hrs. per week | Monday - Friday | 9:00 am - 5:00 pm."
111,Data Scientist,Source Enterprises,4.3,"New York, NY",,"Stay current on modern trends and advances in data mining technology.
Work with our industry experts to gain unrivaled knowledge at both the strategic level …"
112,"Data Scientist, Junior",Booz Allen Hamilton,3.9,"San Diego, CA 92108 (Mission Valley East area)",,"Experience with managing a small team of 3-5 people and the technical delivery of a data science, machine learning, or artificial intelligence project."
113,Data Scientist Predictive Breeding,Bayer,4.2,United States,,"Pilot advanced analytics methods, communicate their effectiveness, enable their deployment and promote their adoption;"
114,Data Scientist,Logic20/20,3.5,"San Francisco Bay Area, CA",,"Collaborate with your team, including machine learning engineers, data engineers, analysts, and TPMs to define tasks, provide estimates, and work together to…"
115,Sr. Data Scientist,Finicity,3.9,"Murray, UT 84123",,"5+ years commercial machine/deep learning and modeling experience.
Ideally, Senior Data Scientists have deep technical and domain expertise."
116,"Data Scientist, Analytics-Remote Presence",Facebook,4.2,"Bellevue, WA",,There is a good balance between diving deep on technical side as well as influencing engineering leaders on this role - data scientists are the key partner to…
117,Data Scientist/Python Developer NEED INDEPENDENT CANDIDATE,TEK Inspirations LLC,,Remote,$40 - $60 an hour,"Want to expand data analytics program.
Data analytics: 8 years (Preferred).
Project that will be remote and a few hours per week.
Data ingested by end of Oct."
118,Junior Data Scientist,Decode_M,,"New York, NY",,"Advance our capabilities for how statistics and machine learning should be used in analyzing digital trends, CRM data and quantitative research."
119,Research Data Scientist I,Cleveland Clinic,3.9,"Cleveland, OH",,"Must possess a minimum of 2 years of experience conducting data analytics, math or statistical modeling or machine learning."
120,"Data Scientist, Advertising Business",Spotify,4.3,"New York, NY 10011 (Flatiron District area)",,"Mentor and coach other data scientists.
You have the technical competence to perform advanced analytics: coding skills (such as Python, Java, or Scala),…"
121,Data Scientist,Strong Analytics,,"Chicago, IL 60611 (Near North Side area)",,"Designing, training, and validating results from a breadth of machine learning algorithms.
Building deep neural networks with modern tools, such as PyTorch or…"
122,Data Scientist,Quantifind,,"Washington, DC",,"You are a full-stack data scientist, an experienced quantitative thinker who wants to develop further as both a data scientist and an engineer."
123,"Data Scientist, ML Evaluation - McD Tech Labs",McDonald's Corporate,3.5,"Mountain View, CA",,"Work with teams of data scientists in the ML evaluation work of our AI Drive Through Product.
The ideal candidate will have previous experience using advanced…"
124,Data Scientist,Strong Analytics,,"Chicago, IL 60611 (Near North Side area)",,"Designing, training, and validating results from a breadth of machine learning algorithms.
Building deep neural networks with modern tools, such as PyTorch or…"
125,Data Scientist,Quantifind,,"Washington, DC",,"You are a full-stack data scientist, an experienced quantitative thinker who wants to develop further as both a data scientist and an engineer."
126,"Data Scientist, ML Evaluation - McD Tech Labs",McDonald's Corporate,3.5,"Mountain View, CA",,"Work with teams of data scientists in the ML evaluation work of our AI Drive Through Product.
The ideal candidate will have previous experience using advanced…"
127,Data Scientist University Grad,ViaSat,3.8,"Carlsbad, CA 92009 (Bressi Ranch area)",,"Analyze large data sets, while finding the truth in data, and develop efficient processes for data analysis and simple, elegant visualization."
128,,Nutrisystem,2.8,"Fort Washington, PA 19034","$95,000 - $125,000 a year","Minimum 5 years of experience with progressively more complex data science, applied statistics, and machine learning projects.
Temporarily due to COVID-19."
129,Data Scientist,Advance Local,3.7,"New York, NY 10004 (Financial District area)",,"Experience using statistics, propensity model building, and algorithms to manipulate data and draw insights from large data sets."
130,Data Scientist,Bayer,4.2,"Creve Coeur, MO",,Provide technical contributions in a fast-paced team environment to accelerate our efforts on building an analytics-driven product pipeline;
131,Data Scientist,Gustaine,,"Orange, CA",,"We are looking for accomplished Fresh Graduates / colleagues with 1-2 years of experience, track record of project management, and demonstrated ability to…"
132,Data Scientist,Budderfly Inc,,"Shelton, CT 06477",,"Design and build new data set processes for modeling, data mining, and production use.
Identify and validate sources of third-party data to augment Budderfly…"
133,Data Scientist - Payment,DiDi Labs,,"Mountain View, CA 94043",,"Strong data modeling skillset, hands on mastery of data manipulation and experience with data analytics tools (SQL, R, Python, Hive, Spark, etc.) and data…"
134,Data Scientist- Spark Digital,DuPont,4.1,"Wilmington, DE",,"Build innovative data products using machine learning and predictive analytics capabilities, big data / batching tools, etc. across various themes:"
135,Data Scientist - Deep Learning,Bosch Group,4.1,"Sunnyvale, CA 94085 (East Murphy area)",,"Execute complex machine learning and deep learning projects that have a significant impact on Bosch global business.
Write clear, maintainable and tested code."
136,Data Scientist Intern- Summer 2021,Paylocity,3.7,Remote,,"Invested in staying current in data science by applying new technologies and practices.
Select features, build and optimize classifiers using machine learning…"
137,Excel Expert Software Engineer/Data Scientist,Ed Mehlman and Associates,,"Houston, TX",,"Expertise with large dataset and database analytics required.
Candidates can have any education background but a degree in computer science, data science, and…"
138,Data Scientist,Kharon,,"Los Angeles, CA",,"We are hiring data scientists to expand and enhance our research and analysis platform, which leverages open-source intelligence, data mining, network analysis,…"
139,Data Scientist,Central Intelligence Agency,4.3,"Washington, DC","$63,503 - $157,709 a year","Experience applying machine learning, natural language processing, or reasoning systems.
Experience presenting data-driven insights to customers and colleagues."
140,Jr. Data Scientist,Super Systems Inc,4.7,"Washington, DC","$100,000 - $110,000 a year","BS degree in a related scientific or engineering discipline from an accredited college or university and 2+ years of progressive experience, or an MS degree in…"
141,Data Scientist - Weather Data,Waymo,3.1,"Ann Arbor, MI",,"Collaborate with engineers and other data scientists on evaluating and improving core Waymo technologies, with a focus on bringing statistical depth, general…"
142,Data Scientist -Bioinformatics,MaxisIT Inc,3.3,"New York, NY",,"Follow relevant scientific literature to ensure use of optimal methods and understand emerging practices across the field.
Good understand of disease biology."
143,Data Scientist - Global,Amgen,4.1,"Thousand Oaks, CA 91362",,"The Data Scientist will be responsible for oversight, governance and administration of Amgen’s global commercial data and analytics warehouse and lead cross…"
144,Data Scientist,University of Utah,4.2,"Salt Lake City, UT 84112 (East Bench area)","$93,950 - $108,000 a year","Expertise in industry leading statistical and data science practices; these enable operational improvement, strategy deployment, value improvement, population…"
145,Forward Deployed Data Scientist,Cresta,4.2,Remote,,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).
You'll have an impact on acquiring new customers, helping our current customers…"
146,Data Scientist,ClearCut Analytics,,"Chicago, IL 60642",,"4+ years of professional experience in an analytics and data science environment utilizing quantitative analytics methodologies, experience in a SaaS or…"
147,Applied Scientist (Remote),Yelp,3.4,Remote,,"Applied scientists uncover these insights through exploratory research and analysis, and carry the ideas all the way through to production-grade statistical or…"
148,Data Scientist - Advanced Analytics (Industrial Products & S...,PRICE WATERHOUSE COOPERS,4.0,"Washington, DC",,"Applicable sources of external, internal, or new data sources to support analytic methods and visualization.
Analyzing large and complex data sets, including a…"
149,Data Scientist (Mid),iQuasar LLC,,"Creve Coeur, MO",$40 - $53 an hour,"Develop powerful business insights from social, marketing, industrial data, and public policy using advanced machine learning techniques."
150,Data Scientist,Tech Army,,"Jacksonville, FL",,"Actively participate in detailed technical design, development and implementation of advanced analytics data project using existing and emerging technology…"
151,International Data Scientist,TransUnion,3.8,"Atlanta, GA 30326 (North Buckhead area)",,"You’ll apply your project management skills, statistical expertise, and knowledge of credit data and analytical resources to determine scope, design,…"
152,Data Scientist (all levels),IAMUS Consulting,,"Linthicum Heights, MD 21090",,"Some knowledge of machine learning concepts a plus, but must be able to do analysis and analytics without ML frameworks."
153,Data Scientist,Booz Allen Hamilton,3.9,"Washington, DC",,"2+ years of experience in a data science or data analytics role.
Experience with reporting and presenting analytics findings to senior leadership and clients."
154,Applied Scientist (Remote),Yelp,3.4,Remote,,"Applied scientists uncover these insights through exploratory research and analysis, and carry the ideas all the way through to production-grade statistical or…"
155,Data Scientist - Advanced Analytics (Industrial Products & S...,PRICE WATERHOUSE COOPERS,4.0,"Washington, DC",,"Applicable sources of external, internal, or new data sources to support analytic methods and visualization.
Analyzing large and complex data sets, including a…"
156,Data Scientist (Mid),iQuasar LLC,,"Creve Coeur, MO",$40 - $53 an hour,"Develop powerful business insights from social, marketing, industrial data, and public policy using advanced machine learning techniques."
157,Data Scientist,Tech Army,,"Jacksonville, FL",,"Actively participate in detailed technical design, development and implementation of advanced analytics data project using existing and emerging technology…"
158,International Data Scientist,TransUnion,3.8,"Atlanta, GA 30326 (North Buckhead area)",,"You’ll apply your project management skills, statistical expertise, and knowledge of credit data and analytical resources to determine scope, design,…"
159,Data Scientist (all levels),IAMUS Consulting,,"Linthicum Heights, MD 21090",,"Some knowledge of machine learning concepts a plus, but must be able to do analysis and analytics without ML frameworks."
